LAST_NAME;PERSONAL_PHOTO;NAME;SECOND_NAME;WORK_POSITION;EMAIL;PERSONAL_BIRTHDAY;PERSONAL_GENDER;WORK_PHONE;UF_1C_PHONE_INNER;PERSONAL_MOBILE;PERSONAL_ICQ;LOGIN;IBLOCK_SECTION_NAME_1;IBLOCK_SECTION_NAME_2;IBLOCK_SECTION_NAME_3;IBLOCK_SECTION_NAME_4
Classen;bf8/42-17703660.gif;Finn;;Controller;f.classen@example.com;10.07.1978;M;567-32-73;368;547-73-83;379-832-832;ClassenF;Niederlassung Berlin;Controlling;;
Simon;891/42b.jpg;Melanie;;Controller;m.simon@example.com;17.09.1980;F;843-94-45;451;468-89-87;743-983-832;SimonM;Niederlassung Berlin;Controlling;;
Wald;68d/14b.jpg;Leo;;Leiter Controlling;l.wald@example.com;09.07.1976;M;653-73-73;524;567-84-83;622-833-821;WaldL;Niederlassung Berlin;Controlling;;
Beil;045/48b.jpg;Isabel;;Designerin;i.beil@example.com;04.10.1978;F;652-35-83;739;732-35-91;658-831-836;BeilI;Niederlassung Berlin;Entwicklung;Produktdesign;
Bigge;2e3/3700-003588.gif;Alexander;;Produktdesigner;a.bigge@example.com;12.10.1975;M;783-95-83;781;769-35-84;378-943-337;BiggeA;Niederlassung Berlin;Entwicklung;Produktdesign;
Bruggen;6c3/73828662.gif;German;;Produktdesigner;g.bruggen@example.com;12.05.1984;M;167-38-95;291;275-83-13;853-187-873;BruggenG;Niederlassung Berlin;Entwicklung;Produktdesign;
Cuckert;cd3/BD9341-001.gif;Leo;;Designer;l.cuckert@example.com;17.05.1981;M;275-37-97;482;286-28-13;175-357-138;CuckertL;Niederlassung Berlin;Entwicklung;Produktdesign;
Dach;ff1/50b.jpg;Tamara;;Designerin;t.dach@example.com;06.10.1975;F;228-93-12;629;739-34-81;789-933-821;DachT;Niederlassung Berlin;Entwicklung;Produktdesign;
Fischer;950/49b.jpg;Sabine;;Designerin;s.fischer@example.com;05.10.1977;F;873-98-25;373;782-94-71;548-245-094;FischerS;Niederlassung Berlin;Entwicklung;Produktdesign;
Hammermeister;e07/47b.jpg;Olivia;;Produktdesignerin;o.hammermeister@example.com;03.10.1979;F;734-83-94;842;436-83-36;955-789-942;HammermeisterO;Niederlassung Berlin;Entwicklung;Produktdesign;
Riedel;2fb/200020197-003.gif;Roman;;Designer;r.riedel@example.com;16.05.1982;M;176-93-58;583;832-22-86;583-124-963;RiedelR;Niederlassung Berlin;Entwicklung;Produktdesign;
Seifert;4bf/60b.gif;Victor;;Produktdesigner;v.seifert@example.com;11.10.1975;M;575-27-89;632;572-94-98;653-842-374;SeifertV;Niederlassung Berlin;Entwicklung;Produktdesign;
Wander;010/26b.jpg;Johannes;;Designer;j.wander@example.com;18.05.1981;M;175-57-64;285;793-72-35;176-396-174;WanderJ;Niederlassung Berlin;Entwicklung;Produktdesign;
Weismann;e24/22b.jpg;Joel;;Produktdesigner;j.weismann@example.com;14.05.1979;M;286-56-37;749;729-73-96;846-936-058;WeismannJ;Niederlassung Berlin;Entwicklung;Produktdesign;
Wittgenstein;79f/200516029-001.gif;Harry;;Produktdesigner;h.wittgenstein@example.com;15.05.1978;M;285-84-37;285;496-28-25;583-276-297;WittgensteinH;Niederlassung Berlin;Entwicklung;Produktdesign;
Achenbach;c6c/200291175-004.gif;Christine;;Programmiererin;c.achenbach@example.com;05.08.1976;F;431-94-83;682;643-99-94;332-933-943;AchenbachC;Niederlassung Berlin;Entwicklung;Sicherheit;
Acker;62b/36b.jpg;Heinrich;;Programmierer;h.acker@example.com;15.08.1979;M;749-83-67;681;567-25-63;455-884-832;AckerH;Niederlassung Berlin;Entwicklung;Sicherheit;
Bell;ba4/53b.jpg;Sascha;;Projektleiter Sicherheit;s.bell@example.com;30.09.1981;M;839-82-45;455;842-94-42;975-942-641;BellS;Niederlassung Berlin;Entwicklung;Sicherheit;
Born;21c/200299144-001.gif;Sebastian;;Programmierer;s.born@example.com;13.08.1978;M;546-50-74;201;955-98-52;736-054-722;BornS;Niederlassung Berlin;Entwicklung;Sicherheit;
Buckmeister;297/16b.jpg;Gisela;;Programmiererin;g.buckmeister@example.com;16.08.1984;F;764-76-98;674;585-54-51;768-985-085;BuckmeisterG;Niederlassung Berlin;Entwicklung;Sicherheit;
Bus;146/11b.jpg;Tanja;;Programmiererin;t.bus@example.com;08.08.1976;F;621-83-94;731;638-95-05;532-944-832;BusT;Niederlassung Berlin;Entwicklung;Sicherheit;
Carrier;249/37b.jpg;Roman;;Programmierer;r.carrier@example.com;17.08.1978;M;849-98-84;743;674-98-95;741-954-544;CarrierR;Niederlassung Berlin;Entwicklung;Sicherheit;
Columbus;4f9/34b.jpg;Simon;;Programmierer;s.columbus@example.com;12.08.1976;M;633-74-73;801;584-54-54;346-680-872;ColumbusS;Niederlassung Berlin;Entwicklung;Sicherheit;
Comberg;d7e/39b.jpg;Alois;;Programmierer;a.comberg@example.com;20.08.1980;M;854-63-52;2000;453-52-52;452-976-419;CombergA;Niederlassung Berlin;Entwicklung;Sicherheit;
Conrad;7f9/200284458-001.gif;Anthony;;Programmierer;a.conrad@example.com;11.08.1981;M;446-76-73;733;567-12-95;738-830-833;ConradA;Niederlassung Berlin;Entwicklung;Sicherheit;
Costa;5a2/10b.jpg;Tina;;Programmiererin;t.costa@example.com;07.08.1976;F;632-97-93;471;571-94-94;833-444-948;CostaT;Niederlassung Berlin;Entwicklung;Sicherheit;
Cotton;fdc/15b.jpg;Ella;;Programmiererin;e.cotton@example.com;14.08.1979;F;467-54-53;767;389-90-84;356-838-944;CottonE;Niederlassung Berlin;Entwicklung;Sicherheit;
Crombach;68d/33b.jpg;Robert;;Programmierer;r.crombach@example.com;04.08.1979;M;765-44-83;889;382-95-45;844-396-833;CrombachR;Niederlassung Berlin;Entwicklung;Sicherheit;
Frey;cdc/200368697-001.gif;Valentina;;Programmiererin;v.frey@example.com;19.08.1978;F;702-84-94;7490;363-94-41;761-843-843;FreyV;Niederlassung Berlin;Entwicklung;Sicherheit;
Giles;a14/200311548-001.gif;Andy;;Programmierer;a.giles@example.com;18.08.1980;M;571-55-52;5450;541-54-98;543-107-522;GilesA;Niederlassung Berlin;Entwicklung;Sicherheit;
Mayer;0b4/200495913-001.gif;Louise;;Programmiererin;l.mayer@example.com;09.08.1980;F;787-94-94;403;678-83-93;763-833-982;MayerL;Niederlassung Berlin;Entwicklung;Sicherheit;
Strickland;c6e/9b.jpg;Ella;;Programmiererin;e.strickland@example.com;06.08.1961;F;731-83-93;545;567-94-43;855-432-934;StricklandE;Niederlassung Berlin;Entwicklung;Sicherheit;
Thomas;59d/200472755-001.gif;Yolante;;Programmiererin;y.thomas@example.com;10.08.1976;F;632-72-72;732;737-94-94;732-822-323;ThomasY;Niederlassung Berlin;Entwicklung;Sicherheit;
Abend;118/52b.jpg;Natasha;;Programmiererin;n.abend@example.com;13.10.1979;F;622-89-72;736;423-98-76;832-828-916;AbendN;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Arnzt;c59/53b.jpg;Alina;;Programmiererin;a.arnzt@example.com;14.10.1980;F;732-97-82;481;749-94-94;490-328-984;ArnztA;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Atkins;ca0/7b.jpg;Alex;;Programmierer;a.atkins@example.com;29.06.1974;M;995-66-53;544;456-79-56;669-555-877;AtkinsA;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Auer;58c/56b.jpg;Andre;;Programmierer;a.auer@example.com;08.10.1980;M;735-83-65;621;561-78-72;763-983-153;AuerA;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Barkmann;475/200524266-002.gif;Alexander;;Programmierer;a.barkmann@example.com;09.10.1975;M;211-89-35;852;736-72-76;723-831-932;BarkmannA;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Bast;5c6/1b.jpg;Emil;;Technischer Projektleiter;e.bast@example.com;24.06.1976;M;546-62-76;435;346-13-72;418-522-832;BastE;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Bland;e8a/7b.jpg;Benjamin;;Programmierer;b.bland@example.com;30.06.1975;M;;;;;BlandB;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Blox;2d9/54b.jpg;Sophie;;Programmiererin;s.blox@example.com;15.10.1981;F;317-84-72;7320;622-72-82;673-832-212;BloxS;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Borg;3a8/10b.jpg;Andreas;;Programmierer;a.borg@example.com;03.07.1978;M;356-84-94;753;542-85-83;468-843-721;BorgA;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Brehm;fa2/9b.jpg;Anthony;;Programmierer;a.brehm@example.com;02.07.1971;M;546-83-83;262;635-84-98;622-722-762;BrehmA;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Bringmann;218/58b.jpg;Detlev;;Programmierer;d.bringmann@example.com;10.10.1976;M;657-67-83;571;367-94-35;678-894-831;BringmannD;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Brock;531/2b.jpg;Claus;;Programmierer;c.brock@example.com;25.06.1970;M;645-72-21;267;546-83-78;667-763-221;BrockC;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Brot;ebf/55b.jpg;Louise;;Programmiererin;l.brot@example.com;16.10.1976;F;833-83-35;745;732-73-72;278-985-821;BrotL;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Fett;f3a/56b.jpg;Mary-Anne;;Programmiererin;m.fett@example.com;17.10.1979;F;623-83-83;381;627-93-78;722-832-818;FettM;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Grau;e97/3b.jpg;Jens;;Programmierer;j.grau@example.com;26.06.1974;M;656-94-54;437;542-96-54;622-762-672;GrauJ;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Hamm;6ca/19b.jpg;Natasha;;Programmiererin;n.hamm@example.com;21.08.1976;F;491-54-97;659;639-25-52;218-410-425;HammN;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Large;cdf/4b.jpg;Samuel;;Programmierer;s.large@example.com;27.06.1976;M;664-87-95;452;265-65-85;466-843-835;LargeS;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Lindt;d41/8b.jpg;Alex;;Programmierer;a.lindt@example.com;01.07.1980;M;223-72-76;701;549-95-45;548-529-418;LindtA;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Vincent;0bb/42-17842521.gif;Simon;;Programmierer;s.vincent@example.com;28.06.1978;M;768-84-84;450;845-09-73;546-984-323;VincentS;Niederlassung Berlin;Entwicklung;Technische Entwicklung;
Arm;70b/11b.jpg;Otto;;Assistent der Geschäftsführung;o.arm@example.com;04.07.1978;M;633-83-72;260;638-84-72;268-782-786;ArmO;Niederlassung Berlin;Geschäftsführung;Sekretariat;
Bigemann;751/40b.jpg;Alisa;;Sekretärin;a.bigemann@example.com;15.09.1980;F;659-94-82;791;990-72-87;632-223-944;BigemannA;Niederlassung Berlin;Geschäftsführung;Sekretariat;
Christ;9f4/39b.jpg;Luise;;Sekretärin der Geschäftsführung;l.christ@example.com;14.09.1973;F;877-83-98;653;733-14-94;739-943-835;ChristL;Niederlassung Berlin;Geschäftsführung;Sekretariat;
Clausen;152/13b.jpg;Daniel;;Geschäftsführer;d.clausen@example.com;08.07.1978;M;567-78-83;678;653-83-94;672-834-332;ClausenD;Niederlassung Berlin;Geschäftsführung;;
Meister;b12/12b.jpg;Andrew;;Geschäftsführer;a.meister@example.com;07.07.1980;M;438-73-72;168;256-82-83;511-782-221;MeisterA;Niederlassung Berlin;Geschäftsführung;;
Balders;a6f/200394797-0041.gif;Oliver;;Personalsachbearbeiter;o.balders@example.com;28.06.1983;M;287-37-87;748;375-83-23;853-267-126;BaldersO;Niederlassung Berlin;Personalabteilung;;
Bohn;38f/72334827.gif;Hella;;Personalsachbearbeiterin;h.bohn@example.com;27.06.1983;F;185-38-46;741;743-75-82;784-844-864;BohnH;Niederlassung Berlin;Personalabteilung;;
Boll;058/4b.jpg;Lorena;;Personalsachbearbeiterin;l.boll@example.com;19.07.1976;F;954-94-52;749;733-90-83;622-721-858;BollL;Niederlassung Berlin;Personalabteilung;;
