LAST_NAME;PERSONAL_PHOTO;NAME;SECOND_NAME;WORK_POSITION;EMAIL;PERSONAL_BIRTHDAY;PERSONAL_GENDER;WORK_PHONE;UF_1C_PHONE_INNER;PERSONAL_MOBILE;PERSONAL_ICQ;LOGIN;IBLOCK_SECTION_NAME_1;IBLOCK_SECTION_NAME_2;IBLOCK_SECTION_NAME_3;IBLOCK_SECTION_NAME_4
Gilbertson;e47/37b.jpg;Laura;;Accountant;l.gilbertson@example.com;09/12/1979;F;657-95-83;768;762-72-32;546-954-932;l.gilbertson;Berlin Office;Finance Department;Accounts Department;
Charles;9f4/39b.jpg;Eloise;;Accountant;e.charles@example.com;09/13/1973;F;877-83-98;653;733-14-94;739-943-835;e.charles;Berlin Office;Finance Department;Accounts Department;
Bigg;751/40b.jpg;Alisa;;Accountant;a.bigg@example.com;09/14/1980;F;659-94-82;791;990-72-87;632-223-944;a.bigg;Berlin Office;Finance Department;Accounts Department;
Adcock;240/41b.jpg;Natasha;;Accountant;n.adcock@example.com;09/15/1973;F;763-97-83;683;638-93-98;733-239-936;n.adcock;Berlin Office;Finance Department;Accounts Department;
Smollett;891/42b.jpg;Madeleine;;Accountant;m.smollett@example.com;09/16/1980;F;843-94-45;451;468-89-87;743-983-832;m.smollett;Berlin Office;Finance Department;Accounts Department;
Armstead;70b/11b.jpg;Owen;;Production Designer;o.armstead@example.com;07/03/1978;M;633-83-72;260;638-84-72;268-782-786;o.armstead;Berlin Office;Production Department;Production Design Division;
Bennet;c38/1b.jpg;Mary;;Production Designer;m.bennet@example.com;07/04/1978;F;674-83-83;470;562-89-83;431-834-216;m.bennet;Berlin Office;Production Department;Production Design Division;
Bullokar;f18/2b.jpg;Natasha;;Production Designer;n.bullokar@example.com;07/05/1978;F;652-98-83;901;399-51-45;644-954-945;n.bullokar;Berlin Office;Production Department;Production Design Division;
Maitland;b12/12b.jpg;Andrew;;Production Designer;a.maitland@example.com;07/06/1980;M;438-73-72;168;256-82-83;511-782-221;a.maitland;Berlin Office;Production Department;Production Design Division;
Curzon;152/13b.jpg;Daniel;;Production Designer;d.curzon@example.com;07/07/1978;M;567-78-83;678;653-83-94;672-834-332;d.curzon;Berlin Office;Production Department;Production Design Division;
Watkin;68d/14b.jpg;Leo;;Production Designer;l.watkin@example.com;07/08/1976;M;653-73-73;524;567-84-83;622-833-821;l.watkin;Berlin Office;Production Department;Production Design Division;
Church;bf8/42-17703660.gif;Finley;;Production Designer;f.church@example.com;07/09/1978;M;567-32-73;368;547-73-83;379-832-832;f.church;Berlin Office;Production Department;Production Design Division;
Toy;794/200479221-001.gif;Alexander;;Production Designer;a.toy@example.com;07/10/1980;M;633-83-94;369;622-83-43;628-832-832;a.toy;Berlin Office;Production Department;Production Design Division;
Calbraith;9a2/73122053.gif;Eugene;;Chief Production Designer;e.calbraith@example.com;07/11/1976;M;333-83-83;675;688-83-94;617-832-832;e.calbraith;Berlin Office;Production Department;Production Design Division;
Brook;ed6/18b.jpg;Dimitris;;Production Designer;d.brook@example.com;07/12/1975;M;620-56-93;546;567-83-93;278-832-322;d.brook;Berlin Office;Production Department;Production Design Division;
Pennington;635/200507598-001.gif;Morgan;;Designer;m.pennington@example.com;07/13/1976;M;567-84-83;667;844-84-43;622-983-832;m.pennington;Berlin Office;Production Department;Design Team;
Barron;aac/42-18010717.gif;Alex;;Designer;a.barron@example.com;07/14/1975;M;722-94-94;156;629-94-94;733-893-833;a.barron;Berlin Office;Production Department;Design Team;
