LAST_NAME;PERSONAL_PHOTO;NAME;SECOND_NAME;WORK_POSITION;EMAIL;PERSONAL_BIRTHDAY;PERSONAL_GENDER;WORK_PHONE;UF_PHONE_INNER;PERSONAL_MOBILE;PERSONAL_ICQ;LOGIN;IBLOCK_SECTION_NAME_1;IBLOCK_SECTION_NAME_2;IBLOCK_SECTION_NAME_3;IBLOCK_SECTION_NAME_4
Èâøèíà;b7a/42-17948709.gif;Ìàðèÿ;Íèêîëàåâíà;IT-ñïåöèàëèñò;m.ivshina@example.com;29.04.1984;F;+7 495 188 46 29;46 29;;431-874-61;m.ivshina;Ìîñêîâñêèé ôèëèàë;IT-äåïàðòàìåíò;;
Ãîðåòîâ;288/1.jpg;Àíäðåé;Ñòåïàíîâè÷;Íà÷àëüíèê îõðàíû;a.goretov@example.com;01.01.1980;M;8 (495) 123-45-67;123-45-67;8 (495) 987-65-76;567-342-333;a.goretov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ñëóæáû áåçîïàñíîñòè;;
Åðîøêèí;972/2.jpg;Íèêîëàé;Èãîðåâè÷;Çàìåñòèòåëü íà÷àëüíèêà îõðàíû;n.eroshkin@example.com;02.01.1973;M;8 (495) 123-45-67;123-45-67;8 (495) 639-25-84;346-734-285;n.eroshkin;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ñëóæáû áåçîïàñíîñòè;;
Ëàðþõèíà;2ca/3.jpg;Îêñàíà;Åâãåíèåâíà;Îõðàííèê;o.laryuhina@example.com;03.01.1954;F;8 (495) 123-43-25;123-45-67;8 (495) 773-53-76;;o.laryuhina;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ñëóæáû áåçîïàñíîñòè;;
Ëóòîøêèí;5c4/4.jpg;Åãîð;Áîðèñîâè÷;Îõðàííèê;e.lutoshkin@example.com;04.01.1956;M;8 (495) 123-65-34;235-34-52;8 (495) 435-21-68;;e.lutoshkin;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ñëóæáû áåçîïàñíîñòè;;
Ìàìîíòîâ;cf2/5.jpg;Ñòàíèñëàâ;Ëüâîâè÷;Îõðàííèê;s.mamontov@example.com;05.01.1963;M;8 (495) 634-48-35;123-45-67;8 (495) 365-25-71;;s.mamontov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ñëóæáû áåçîïàñíîñòè;;
Íàçèìîâ;c3e/42-17219855.gif;Âÿ÷åñëàâ;Àëåêñååâè÷;Îõðàííèê;v.nazimov@example.com;06.01.1982;M;8 (495) 345-23-34;123-45-67;8 (495) 435-23-78;432-159-999;v.nazimov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ñëóæáû áåçîïàñíîñòè;;
Îíîøêèí;cd1/7.jpg;Àíàòîëèé;Ðîìàíîâè÷;Îõðàííèê;a.onoshkin@example.com;07.01.1976;M;8 (495) 322-25-13;123-45-67;8 (495) 243-35-67;324-679;a.onoshkin;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ñëóæáû áåçîïàñíîñòè;;
Ôåôåëîâ;99c/8.jpg;Áîðèñ;Àíäðååâè÷;Îõðàííèê;b.fefelov@example.com;08.01.1982;M;8 (495) 346-32-65;123-45-67;8 (495) 132-75-73;345-231-238;b.fefelov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ñëóæáû áåçîïàñíîñòè;;
Áàíäóðèí;274/9.jpg;Ñòàíèñëàâ;Ñòàíèñëàâîâè÷;Ãåíåðàëüíûé äèðåêòîð;s.bandurin@example.com;09.01.1963;M;8 (495) 445-32-12;37;8 (495) 623-43-65;123-854;s.bandurin;Ìîñêîâñêèé ôèëèàë;Äèðåêöèÿ;;
Ïàíêðàøåâ;287/73985274.gif;Ëåîíèä;Äàíèëîâè÷;Çàìåñòèòåëü ãåíåðàëüíîãî äèðåêòîðà;l.pankrashev@example.com;10.01.1974;M;8 (495) 425-24-65;36;8 (495) 436-65-46;123-253;l.pankrashev;Ìîñêîâñêèé ôèëèàë;Äèðåêöèÿ;;
Ïåòÿêèíà;aae/11.jpg;Êèðà;Âÿ÷åñëàâîâíà;ñåêðåòàðü;k.petyakina@example.com;11.01.1985;F;8 (495) 231-22-23;10;8 (495) 235-23-12;123-256-662;k.petyakina;Ìîñêîâñêèé ôèëèàë;Äèðåêöèÿ;;
Ïîðøíåâ;b58/12.jpg;Àíäðåé;Ñòåïàíîâè÷;ôèíàíñîâûé äèðåêòîð;a.porshnev@example.com;12.01.1973;M;8 (495) 235-35-12;23;8 (495) 453-23-14;124-742-112;a.porshnev;Ìîñêîâñêèé ôèëèàë;Äèðåêöèÿ;;
Òâåðäîõëåáîâà;fff/13.jpg;Âèêòîðèÿ;Âàäèìîâíà;êîììåð÷åñêèé äèðåêòîð;v.tverdohlebova@example.com;13.01.1980;F;8 (495) 345-43-24;12;8 (495) 234-43-52;234-876;v.tverdohlebova;Ìîñêîâñêèé ôèëèàë;Äèðåêöèÿ;;
Òèõîìèðîâ;66e/14.jpg;Äàíèëà;Âÿ÷åñëàâîâè÷;òåõíè÷åñêèé äèðåêòîð;d.tihomirov@example.com;14.01.1965;M;8 (495) 235-76-53;45;8 (495) 234-76-48;453-663-128;d.tihomirov;Ìîñêîâñêèé ôèëèàë;Äèðåêöèÿ;;
Óâàðîâà;a19/15.jpg;Äàðüÿ;Âèòàëüåâíà;èñïîëíèòåëüíûé äèðåêòîð;d.uvarova@example.com;15.01.1983;F;8 (495) 634-66-62;9;8 (495) 354-64-32;546-235-634;d.uvarova;Ìîñêîâñêèé ôèëèàë;Äèðåêöèÿ;;
×àñîâùèêîâ;38a/16.jpg;Þðèé;Àíàòîëèåâè÷;Þðèñò;yu.chasovschikov@example.com;16.01.1979;M;8 (495) 435-55-24;88;8 (495) 345-22-67;234-765;yu.chasovschikov;Ìîñêîâñêèé ôèëèàë;Þðèäè÷åñêèé îòäåë;;
ßíèíà;c6c/17.jpg;Ìàðèíà;Âÿ÷åñëàâîâíà;Þðèñò;m.yanina@example.com;17.01.1983;M;8 (495) 546-57-34;89;8 (495) 354-67-72;456-123-863;m.yanina;Ìîñêîâñêèé ôèëèàë;Þðèäè÷åñêèé îòäåë;;
Áèáèêîâà;a59/18.jpg;Çèíàèäà;Äàíèëîâíà;Þðèñò;z.bibikova@example.com;18.01.1979;F;8 (495) 346-32-34;33;8 (495) 456-82-34;456-765-932;z.bibikova;Ìîñêîâñêèé ôèëèàë;Þðèäè÷åñêèé îòäåë;;
Ãàëèìîâ;d5c/20.jpg;Åãîð;Ãðèãîðèåâè÷;ìåíåäæåð;e.galimov@example.com;19.01.1975;M;8 (495) 546-56-23;91;8 (495) 345-76-12;435-965-572;e.galimov;Ìîñêîâñêèé ôèëèàë;Àíàëèòè÷åñêèé îòäåë;;
Äîðîõîâ;3c9/25.jpg;Àëåêñåé;Íèêîëàåâè÷;èíæåíåð;a.dorohov@example.com;20.01.1981;M;8 (495) 435-67-34;34;8 (495) 345-65-54;855-345;a.dorohov;Ìîñêîâñêèé ôèëèàë;Àíàëèòè÷åñêèé îòäåë;;
Áóçóíîâà;1cf/19.jpg;Ïîëèíà;Ñòåïàíîâà;ìåíåäæåð;p.buzunova@example.com;21.01.1978;F;8 (495) 345-67-35;84;8 (495) 325-65-45;344-456;p.buzunova;Ìîñêîâñêèé ôèëèàë;Àíàëèòè÷åñêèé îòäåë;;
Àíîøêèí;2da/24.jpg;Ãåííàäèé;Àíäðååâè÷;ìåíåäæåð;g.anoshkin@example.com;22.01.1976;M;8 (495) 123-54-12;42;8 (495) 234-65-63;234-655-754;g.anoshkin;Ìîñêîâñêèé ôèëèàë;Àíàëèòè÷åñêèé îòäåë;;
Àñòàôüåâ;078/23.jpg;Åôèì;Âèòàëèåâè÷;àíàëèòèê;e.astafev@example.com;23.01.1969;M;8 (495) 356-56-32;31;8 (495) 234-67-31;325-652-363;e.astafev;Ìîñêîâñêèé ôèëèàë;Àíàëèòè÷åñêèé îòäåë;;
Âîðîøèëîâ;542/73607895.gif;Àðêàäèé;Àëåêñàíäðîâè÷;àíàëèòèê;a.voroshilov@example.com;24.01.1982;M;8 (495) 234-65-32;11;8 (495) 345-87-45;413-225-833;a.voroshilov;Ìîñêîâñêèé ôèëèàë;Àíàëèòè÷åñêèé îòäåë;;
Åãèí;588/21.jpg;Åâãåíèé;Âàäèìîâè÷;ìåíåäæåð;e.egin@example.com;25.01.1973;M;8 (495) 856-45-21;5;8 (495) 234-65-12;123-231-123;e.egin;Ìîñêîâñêèé ôèëèàë;Àíàëèòè÷åñêèé îòäåë;;
Åëïèäèí;f20/26.jpg;Èâàí;Âèêòîðîâè÷;ìåíåäæåð;i.elpidin@example.com;26.01.1977;M;8 (495) 222-33-55;1;8 (495) 123-55-65;243-456-987;i.elpidin;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Ñåëèí;974/27.jpg;Àëåêñàíäð;Ñòàíèñëàâîâè÷;ìåíåäæåð;a.selin@example.com;27.01.1982;M;8 (495) 333-44-11;2;8 (495) 341-43-52;456-765;a.selin;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Ùóêèí;6df/28.jpg;Èëüÿ;Êîíñòàíòèíîâè÷;ìåíåäæåð;i.schukin@example.com;28.01.1986;M;8 (495) 333-44-22;3;8 (495) 345-75-12;394-232-195;i.schukin;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
ßùóêîâ;e3f/42-17475932.gif;Ïàâåë;Âèòàëèåâè÷;ìåíåäæåð;p.yaschukov@example.com;30.01.1973;M;8 (495) 364-23-14;7;8 (495) 345-67-32;345-234-987;p.yaschukov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Øåñòèïåðîâà;b8f/woman3_big.jpg;Ñîôèÿ;Òèõîíîâíà;ìåíåäæåð;s.shestiperova@example.com;31.01.1977;F;8 (495) 856-34-56;123;8 (495) 573-56-78;674-865-456;s.shestiperova;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Òðåôîëåâ;efb/42-17395771.gif;Íèêîëàé;Íèêîëàåâè÷;ìåíåäæåð;n.trefolev@example.com;01.02.1981;M;8 (495) 345-22-34;125;8 (495) 325-65-87;434-556;n.trefolev;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Îõîõîíèí;24a/m12_big.jpg;Ãåîðãèé;Àðêàäèåâè÷;ìåíåäæåð;g.ohohonin@example.com;02.02.1970;M;8 (495) 453-67-32;876;8 (495) 668-53-87;456-768-900;g.ohohonin;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Íåäîçåâèí;1bd/m13_big.jpg;Ðóñëàí;Ëüâîâè÷;ìåíåäæåð;r.nedozevin@example.com;03.02.1985;M;8 (495) 345-67-88;87;8 (495) 567-65-66;234-987-786;r.nedozevin;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Èëëàðèîíîâ;d0f/42-18113577.gif;Ìàòâåé;Ãåííàäèåâè÷;ìåíåäæåð;m.illarionov@example.com;04.02.1988;M;8 (495) 334-44-22;85;8 (495) 453-66-87;456-65-34;m.illarionov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
